,Date,LocationID,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,DO_passenger,DOTripDistance_count,DO_fare,DropOff_count
98,2020-08,148,7448.0,17228.42,5294,70878.81,8822.0,18730.28,80357.22,6168
99,2020-08,151,22556.0,38096.159999999996,16081,174335.37,19533.0,32488.27,145561.16,13763
100,2020-08,152,2939.0,6907.47,2049,29560.14,4892.0,11683.37,47539.21,3413
101,2020-08,153,111.0,687.3,102,3138.98,191.0,1300.55,5110.46,163
102,2020-08,158,4228.0,7887.26,2974,35401.43,7882.0,69174.54,63385.54,5607
103,2020-08,161,38830.0,60086.16,28069,281562.08,35356.0,42675.32,211077.52,25425
104,2020-08,162,40936.0,62455.85,29309,283852.1,31278.0,40241.229999999996,197622.49,22643
105,2020-08,163,25968.0,40661.13,18672,188162.54,23742.0,30371.08,147592.17,17218
106,2020-08,164,23437.0,37390.38,16553,172124.81,20599.0,28813.13,136375.82,14649
107,2020-08,166,10383.0,20478.97,7612,93087.13,12733.0,94338.24000000002,111110.96,9228
108,2020-08,170,46642.0,77760.9,33442,353961.08,42193.0,57551.89,273426.46,30354
109,2020-08,186,55189.0,104213.87,40062,452555.61,27281.0,35873.69,176834.62,19601
110,2020-08,194,102.0,468.78000000000003,92,3069.07,287.0,1462.8500000000001,6534.31,230
111,2020-08,202,119.0,555.9,102,2799.55,1073.0,4198.58,16100.32,779
112,2020-08,209,2609.0,7545.14,1771,30186.02,3139.0,9995.63,37807.86,2227
113,2020-08,211,5651.0,10298.46,3918,44816.63,7981.0,14798.15,64416.4,5541
114,2020-08,224,2795.0,5473.41,2072,24773.31,6571.0,150675.91,52523.590000000004,4744
115,2020-08,229,31374.0,46944.28,22714,210846.03,30104.0,78548.3,198591.72,21511
116,2020-08,230,20753.0,35532.07,14648,154277.23,15856.0,21506.46,100456.63,11454
117,2020-08,231,11772.0,29423.8,8286,122276.51,14426.0,36530.47,149002.85,10145
118,2020-08,232,1749.0,6177.04,1437,31196.47,7891.0,105547.45999999999,87503.88,5780
119,2020-08,233,20526.0,171562.80999999997,14612,147259.81,22259.0,32441.21,148464.52,15824
120,2020-08,234,33739.0,120007.94000000002,23659,240463.02,27302.0,37312.65,175446.81,19353
121,2020-08,236,57822.0,82030.54,41276,392058.2,57445.0,75424.46,359892.97000000003,41127
122,2020-08,237,64774.0,86088.53,46289,418911.12,54686.0,62761.21,321437.33,39344
123,2020-08,238,39775.0,66251.94,28461,299075.25,37294.0,58485.6,264759.03,26421
124,2020-08,239,41731.0,62248.07,29649,286869.89,36823.0,51814.32,239853.6,26187
125,2020-08,243,729.0,2924.13,620,14801.08,4105.0,22801.42,78226.21,3043
126,2020-08,244,3591.0,11568.300000000001,2700,52016.59,9348.0,43514.62,154802.27,6894
127,2020-08,246,9690.0,18960.1,6838,86326.24,15848.0,25478.81,120686.66,11278
128,2020-08,249,23336.0,39427.81,16405,171910.71,19368.0,30540.329999999998,136257.85,13684
129,2020-08,261,4520.0,13024.15,3039,51026.01,4025.0,12344.18,46133.52,2768
130,2020-08,262,21762.0,35946.59,15697,160274.79,23025.0,36939.81,164308.91,16384
131,2020-08,263,41565.0,66220.9,29903,296974.85,35781.0,54300.7,240729.66,25637
132,2020-09,4,1756.0,23178.84,1339,20883.97,9269.0,18217.36,77996.0,6501
133,2020-09,12,427.0,1213.67,273,4515.95,693.0,1831.83,6884.29,449
134,2020-09,13,6793.0,20124.41,4854,75670.04,9669.0,29089.5,107820.51,6696
135,2020-09,24,8939.0,15639.23,6428,72213.06,9695.0,17388.239999999998,76072.62,6830
136,2020-09,41,14521.0,143625.62,10641,121453.55,22301.0,45318.96,199313.45,15984
137,2020-09,42,8006.0,18596.57,6033,88158.17,17806.0,50236.07,208700.3,12875
138,2020-09,43,38293.0,54126.65,25673,255678.77,28436.0,38175.28,181682.36,19229
139,2020-09,45,2002.0,5773.4800000000005,1471,25207.02,3995.0,10671.75,43282.17,2887
140,2020-09,48,53321.0,87353.51,37390,387268.4,45947.0,63565.83,300384.17,32895
141,2020-09,50,13573.0,43479.92,9698,109471.9,21278.0,32305.19,149272.45,15126
142,2020-09,68,38973.0,69934.02,28021,310223.19,37010.0,53623.45,250135.72,26084
143,2020-09,74,16143.0,31496.48,11535,143755.85,28449.0,57832.09,250594.01,20407
144,2020-09,75,30980.0,120947.13,22444,262535.08,43384.0,73086.95,332296.62,31005
145,2020-09,79,38899.0,67631.05,26898,292560.59,34010.0,57650.62,253001.95,23869
146,2020-09,87,8762.0,202357.06999999998,6045,99192.27,9936.0,31263.97,115515.49,7070
147,2020-09,88,4447.0,15979.83,3220,58108.1,4780.0,16080.79,56214.51,3340
148,2020-09,90,37883.0,58087.77,26668,267587.66,26915.0,39564.53,182273.7,19277
149,2020-09,100,33608.0,60089.27,24435,267257.99,24769.0,31447.09,157523.21,17518
150,2020-09,107,44790.0,72337.68,31872,332430.45,35970.0,53905.35,246652.61,25781
151,2020-09,113,26066.0,207182.02000000002,18264,191175.73,22211.0,53079.85,156643.16,15884
152,2020-09,114,16671.0,27873.89,11329,122215.41,14370.0,23559.72,104731.93000000001,9922
153,2020-09,116,4340.0,10354.460000000001,3138,46170.87,8950.0,46890.270000000004,109855.6,6454
154,2020-09,120,19.0,96.57000000000001,15,498.43,85.0,441.95000000000005,1594.26,66
155,2020-09,125,6806.0,12476.55,4766,53841.38,5584.0,10190.33,43870.56,4004
156,2020-09,127,395.0,1574.0,306,7270.08,1954.0,12022.45,39851.42,1453
157,2020-09,128,53.0,376.14,42,1358.97,144.0,890.49,2912.67,109
158,2020-09,137,35404.0,101220.69,25299,297367.61,32127.0,51133.75,233901.76,23145
159,2020-09,140,53391.0,102043.07,38827,459555.58,48295.0,75751.45,367407.36,34868
160,2020-09,141,62209.0,89736.07,44183,423810.33,58978.0,94521.23,376943.92,41788
161,2020-09,142,58272.0,89380.72,41650,415168.41,51593.0,69055.15,331596.64,36636
162,2020-09,143,26535.0,81454.18000000001,18912,193719.5,29848.0,42987.6,205005.44,21034
163,2020-09,144,11023.0,20500.58,7652,91251.18000000001,12563.0,55575.04,103157.8,8620
164,2020-09,148,10301.0,22469.56,7189,92359.05,11717.0,22995.94,101665.57,8141
165,2020-09,151,28488.0,45848.88,20288,215223.27,24972.0,39532.53,182508.57,17577
166,2020-09,152,2922.0,6291.87,2097,27871.99,5376.0,12686.83,52957.07,3801
167,2020-09,153,110.0,544.08,98,2529.33,202.0,1489.48,5607.59,179
168,2020-09,158,7492.0,13308.04,5261,59338.85,13177.0,22083.86,98081.25,9240
169,2020-09,161,58208.0,88643.86,41655,421635.92,50602.0,63799.33,320684.64,36875
170,2020-09,162,55102.0,83599.31,39626,385991.9,42440.0,54347.24,273275.9,30561
171,2020-09,163,37671.0,57461.33,27045,272495.21,34041.0,44467.86,219460.4,24484
172,2020-09,164,33121.0,51983.06,23236,240115.82,28421.0,38649.07,186940.48,20196
173,2020-09,166,13913.0,25766.48,10024,118593.28,17507.0,34449.73,148473.97,12668
174,2020-09,170,60748.0,98176.82,43346,454707.46,55790.0,75375.95,363219.58,39862
175,2020-09,186,66985.0,121652.23,48602,541190.61,34840.0,45474.24,224833.23,25080
176,2020-09,194,77.0,436.66,72,2009.77,383.0,1715.25,6638.33,285
177,2020-09,202,138.0,737.9399999999999,120,3070.97,1242.0,4400.98,16743.78,877
178,2020-09,209,3372.0,10274.28,2394,39854.3,4105.0,12199.81,46815.03,2886
179,2020-09,211,8959.0,16025.44,6143,70007.79000000001,12484.0,22412.41,99646.99,8705
180,2020-09,224,3539.0,6858.89,2667,30894.65,8636.0,14389.3,62803.14,6048
181,2020-09,229,43158.0,62561.91,30848,287754.06,41791.0,56233.229999999996,274887.56,29532
182,2020-09,230,29628.0,50774.41,21013,223822.19,23491.0,32089.12,150698.02,16505
183,2020-09,231,18707.0,43934.97,13325,181376.8,22674.0,52759.94,214135.96,15921
184,2020-09,232,2294.0,7699.86,1789,35298.96,10246.0,24847.46,103106.2,7282
185,2020-09,233,26487.0,42615.27,18613,190461.24,28856.0,41651.56,193003.09,20479
186,2020-09,234,47579.0,71434.13,32864,335618.05,38896.0,52913.42,251829.54,27706
187,2020-09,236,92640.0,126554.76,65555,626255.47,93776.0,117180.41,587512.14,66238
188,2020-09,237,96726.0,122706.22,68601,618445.43,83836.0,94690.9,505397.43,59804
189,2020-09,238,53950.0,85127.63,38415,395865.73,53236.0,80536.5,375237.98,37552
190,2020-09,239,60046.0,86179.51,42504,407034.83999999997,54409.0,74820.45,356266.52,38618
191,2020-09,243,773.0,2854.11,619,13328.19,5026.0,28029.190000000002,94069.88,3695
192,2020-09,244,3739.0,12226.01,2787,51601.47,10361.0,45574.25,160729.0,7451
193,2020-09,246,15463.0,26215.14,10883,119586.05,23769.0,35814.95,168840.88,16814
194,2020-09,249,35683.0,58726.22,24753,257720.09,29087.0,43378.65,198308.63,20515
195,2020-09,261,6684.0,18529.62,4539,71237.45,5922.0,17730.58,65806.63,4106
196,2020-09,262,30510.0,49089.36,22176,224015.5,32835.0,50073.49,230286.62,23162
197,2020-09,263,53297.0,81642.95,37758,374133.94,47677.0,133568.65,320501.46,33712
