Date,LocationID,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,PUT_fare,DO_passenger,DOTripDistance_count,DropOff_count,DO_fare,DOT_fare
2017-02,127,1749.0,3916.5499999999997,28,15017.6,18012.34,12142.0,67132.33,7519,205710.4,244030.13999999998
2017-02,128,102.0,305.76,23,1111.0,1322.94,780.0,3875.79,469,12071.0,14612.53
2017-02,137,185982.0,251891.95,28,1206984.98,1524460.6,213316.0,248547.9,132556,1253436.14,1608193.7
2017-02,140,243489.0,365041.95,28,1680589.29,2093042.13,252393.0,343008.95,156653,1641248.74,2068584.26
2017-02,141,330563.0,410306.1,28,1977210.44,2495792.61,339474.0,412323.08999999997,208540,2004598.73,2569768.2
2017-02,142,419881.0,553462.87,28,2648388.63,3344928.37,382695.0,464151.89,234910,2294234.81,2924217.58
2017-02,143,156841.0,203378.72,28,976321.18,1229190.29,175207.0,231058.59,108331,1106578.12,1412459.72
2017-02,144,184192.0,276581.48,28,1311409.3699999999,1638076.16,153999.0,213416.35,92449,1093443.69,1360921.85
2017-02,148,243641.0,430482.95,28,1867890.33,2319382.48,180904.0,253908.53,108293,1296229.21,1618185.07
2017-02,151,127163.0,181589.49,28,830198.86,1033932.0800000001,118347.0,186706.6,72078,793401.3,1004097.37
2017-02,152,15907.0,26747.1,28,114125.3,137280.88,27164.0,60850.48,16766,234472.5,283343.19
2017-02,153,183.0,327.85,27,1354.3,1576.1200000000001,743.0,4050.85,441,12874.14,14983.939999999999
2017-02,158,185253.0,272987.53,28,1306140.41,1647130.97,173595.0,221497.83,105075,1093464.02,1392806.91
2017-02,161,568113.0,818495.13,28,3907058.24,4987623.99,530157.0,677319.93,330564,4032430.14,4952849.07
2017-02,162,496070.0,740162.0,28,3516979.61,4500950.12,433030.0,607542.98,268557,2950539.4,3756787.17
2017-02,163,395367.0,575738.35,28,2729691.39,3450875.35,350340.0,467576.5,214111,2329073.37,2928114.33
2017-02,164,369071.0,523875.02,28,2494454.2800000003,3170728.08,314821.0,410864.42,191171,2079447.92,2647920.0
2017-02,166,83050.0,134232.38,28,594888.37,744045.23,122344.0,216443.53,75394,897674.64,1122577.8
2017-02,170,468290.0,648753.99,28,3192130.55,4071565.8000000003,465474.0,562057.85,289708,2896949.8,3723656.7800000003
2017-02,186,512964.0,717720.43,28,3681165.4699999997,4587296.23,419828.0,461327.63,254376,2553710.97,3223337.62
2017-02,194,603.0,2401.18,28,17015.51,22139.83,779.0,2682.53,483,9604.51,13447.76
2017-02,202,721.0,1480.38,28,6600.17,8085.81,7025.0,23416.11,4338,84642.27,102265.75
2017-02,209,29164.0,65084.98,28,257316.54,315969.36,38688.0,86676.31999999999,23698,341795.44,423362.72000000003
2017-02,211,134613.0,194346.73,28,953208.93,1190837.77,134295.0,183789.66,82262,928786.17,1160601.03
2017-02,224,44469.0,63683.23,28,299620.02999999997,374500.12,65517.0,94576.56,40548,437747.52999999997,565327.21
2017-02,229,275225.0,370912.85,28,1756504.8900000001,2214536.04,256544.0,323211.3,158606,1610040.73,2049552.36
2017-02,230,520087.0,846164.07,28,3800635.82,4799178.55,451561.0,690998.57,270437,3249441.5,4081228.68
2017-02,231,287413.0,498283.98,28,2217076.51,2767785.66,266600.0,448839.67,164231,2008490.19,2505576.64
2017-02,232,31990.0,60421.27,28,261611.71,319034.84,75157.0,128867.01,46254,574579.5,703198.7
2017-02,233,185472.0,282932.11,28,1326368.71,1690067.79,204796.0,281699.99,126717,1335099.32,1710728.51
2017-02,234,511457.0,655730.47,28,3697334.6599999997,4627617.01,426960.0,465896.27999999997,264986,2495959.39,3206188.14
2017-02,236,518783.0,604789.55,28,3392805.54,4201272.9,538498.0,617415.05,332841,3023642.37,3869753.25
2017-02,237,550071.0,609475.06,28,3155115.74,3997896.68,490281.0,505822.88,305275,2734022.07,3477749.48
2017-02,238,281753.0,377698.1,28,1938299.53,2394868.25,296165.0,417051.08,182423,1869721.94,2391571.12
2017-02,239,376965.0,483777.51,28,2292007.21,2902894.93,357745.0,470699.72,219160,2512166.1,3129968.28
2017-02,243,3510.0,7613.99,28,30856.05,37256.39,29398.0,145632.27,18098,460569.85,551615.53
2017-02,244,15383.0,36356.8,28,140786.93,169098.45,55773.0,224917.54,34665,744949.48,889782.03
2017-02,246,226507.0,328034.51,28,1589925.1400000001,2012840.4000000001,292092.0,352397.76,180252,1829127.93,2313899.73
2017-02,249,342496.0,472853.75,28,2285794.0,2893214.13,268174.0,307322.91,164689,1569805.01,2031954.27
2017-02,261,81085.0,190293.79,28,766934.53,937181.77,68861.0,171937.96,41559,657128.39,805300.11
2017-02,262,173940.0,248201.91,28,1120189.4,1406154.49,183106.0,269327.02,111987,1190275.17,1526307.25
2017-02,263,255339.0,347248.72,28,1570890.97,1989404.1199999999,262238.0,374821.59,160700,1636630.55,2108329.2
2017-03,4,48319.0,76182.6,31,350923.48,432599.77999999997,89587.0,125661.18,55475,601614.87,754768.92
2017-03,12,6043.0,14257.67,31,59860.44,70712.65,10603.0,22573.96,6186,94900.2,110995.49
2017-03,13,155277.0,373810.36,31,1497954.33,1864461.76,159975.0,396120.61,98015,1548557.39,1908518.33
2017-03,24,49910.0,76422.87,31,345640.04,429593.01,54284.0,93348.79,33401,389100.69,491752.37
2017-03,41,65416.0,91067.56,31,421561.48,517336.08,109788.0,212518.94,67687,875453.78,1083941.64
2017-03,42,31525.0,46395.43,31,210825.54,252689.92,77124.0,200973.03,47921,759547.63,915038.96
2017-03,43,209031.0,263517.65,31,1341763.15,1667268.66,181499.0,225815.46,107242,1146844.65,1424012.62
2017-03,45,35793.0,65850.05,31,305449.17,369940.46,44759.0,73061.61,26973,342717.11,414734.88
2017-03,48,536006.0,791330.38,31,3751503.02,4685341.98,455077.0,614486.02,277326,3159666.67,3971103.3200000003
2017-03,50,174639.0,269603.77,31,1283336.03,1597937.07,212622.0,270660.41,131721,1438867.6,1807123.28
2017-03,68,383346.0,547068.49,31,2754042.91,3463211.34,366935.0,456502.56,226435,2382996.07,3029910.56
2017-03,74,67077.0,97886.52,31,440143.41,531134.58,130044.0,228814.53,81010,942230.44,1151568.27
2017-03,75,113903.0,164732.47,31,759695.69,929283.3,196000.0,288280.38,122550,1275848.17,1588416.63
2017-03,79,519658.0,761591.29,31,3615037.28,4553456.84,424683.0,534703.08,258849,2681330.9899999998,3444361.36
2017-03,87,126552.0,341315.86,31,1332256.28,1653707.92,131438.0,353150.14,82205,1346986.13,1668166.24
2017-03,88,66458.0,186846.51,31,722979.92,890433.17,67180.0,188808.74,41648,700588.38,850896.34
2017-03,90,310824.0,393029.7,31,2055922.77,2611737.24,257780.0,295725.91000000003,160412,1556041.68,2011586.5
2017-03,100,330082.0,480779.83,31,2407014.13,2995748.0500000003,258964.0,312453.99,159352,1798432.88,2247298.22
2017-03,107,404522.0,529294.43,31,2705412.63,3443701.04,355931.0,424144.33,221393,2180719.07,2823693.11
2017-03,113,277567.0,362248.18,31,1880294.85,2378791.0,242034.0,293228.8,150507,1512620.09,1941697.07
2017-03,114,239707.0,346963.6,31,1671414.55,2105618.91,186492.0,226825.39,113706,1181782.24,1504984.51
2017-03,116,21129.0,41628.99,31,173282.04,208591.2,48002.0,147022.36,29643,528780.35,637611.35
2017-03,120,105.0,266.84,24,1279.5,1625.94,582.0,2420.5,351,7891.5,9124.26
2017-03,125,101837.0,163496.63,31,779353.86,985722.99,91900.0,139111.59,56500,659613.52,828923.79
2017-03,127,1868.0,4421.43,31,17254.34,20601.8,13453.0,74873.6,8278,231629.94,275239.63
2017-03,128,102.0,265.61,24,1162.94,1395.31,773.0,4043.66,492,12920.94,15368.39
2017-03,137,217110.0,299192.86,31,1471060.31,1853259.1,243352.0,289398.96,151742,1486026.64,1902940.6
2017-03,140,279741.0,427414.68,31,2007075.59,2498141.52,292917.0,397371.97,181619,1954166.75,2460628.36
2017-03,141,372235.0,466583.63,31,2296843.51,2896818.65,375967.0,461239.62,233412,2297285.98,2943471.48
2017-03,142,471060.0,622791.15,31,3240864.2,4043930.27,417348.0,516158.46,257463,2595098.45,3305819.2199999997
2017-03,143,181226.0,234348.3,31,1159959.03,1457786.6,202168.0,265292.6,125739,1297682.6,1657019.63
2017-03,144,188909.0,282148.47,31,1372582.27,1711815.08,159718.0,229056.08000000002,96319,1167095.93,1450910.33
2017-03,148,244653.0,427491.27,31,1874876.25,2329610.4,180841.0,264622.9,108347,1323097.73,1651095.6
2017-03,151,142007.0,204812.06,31,949395.4199999999,1181977.1400000001,134862.0,216948.84,82488,930302.95,1178110.9
2017-03,152,18356.0,30578.97,31,132065.61000000002,159011.5,31200.0,68845.01,19221,270267.93,326639.29
2017-03,153,218.0,484.51,30,1896.5,2181.04,756.0,5071.34,517,15734.51,18185.46
2017-03,158,194306.0,293986.75,31,1423633.28,1793130.6400000001,183849.0,241319.57,111800,1189203.4,1515209.93
2017-03,161,613319.0,889036.53,31,4364729.59,5565073.39,587109.0,754811.2,366200,4098465.46,5152306.7
2017-03,162,550255.0,834808.3,31,4058772.32,5189771.07,482233.0,676072.54,299696,3447726.62,4368553.0200000005
2017-03,163,443867.0,652969.82,31,3183437.09,4012359.75,390621.0,534088.9400000001,239265,2751453.29,3447554.32
2017-03,164,408051.0,591030.8,31,2886950.51,3664073.6,353546.0,476004.57,214676,2502718.2,3171513.68
2017-03,166,90676.0,152523.33000000002,31,675415.72,845210.67,128493.0,244746.87,80036,1007606.95,1263391.67
2017-03,170,535573.0,760757.47,31,3829825.75,4880899.48,530580.0,653253.39,331452,3503906.79,4487807.21
2017-03,186,566085.0,805272.3,31,4265448.61,5303191.71,449479.0,507356.64,273933,2929272.79,3679172.07
2017-03,194,790.0,3376.37,31,22845.81,30060.13,1036.0,3464.62,635,12332.51,17681.43
2017-03,202,742.0,1617.97,31,7038.31,8432.84,7242.0,25445.68,4565,92499.57,111699.62
2017-03,209,33166.0,76591.42,31,307109.88,377175.65,44204.0,101332.58,27289,403470.08,499785.62
2017-03,211,137304.0,202491.45,31,1004952.9,1253413.32,140648.0,197382.61,86201,993017.9,1240687.97
2017-03,224,47919.0,70768.77,31,337105.98,421220.47,73884.0,109856.87,46049,512018.79,660423.45
2017-03,229,314549.0,431233.16,31,2093133.61,2634128.75,289874.0,370622.58999999997,178906,1895031.95,2403968.5
2017-03,230,596392.0,980017.24,31,4523088.71,5700103.51,528523.0,814695.86,315425,4031619.07,5047493.3
2017-03,231,309496.0,548152.94,31,2480704.2800000003,3091275.07,293160.0,499612.77,181402,2259918.29,2816183.41
2017-03,232,34670.0,64966.82,31,285080.31,348866.86,81459.0,142489.1,50687,633032.8,776878.55
2017-03,233,222436.0,347426.91,31,1671296.17,2119089.19,242771.0,339239.1,150317,1679146.1,2134414.21
2017-03,234,554609.0,719408.04,31,3765481.55,4805098.8100000005,468895.0,517406.8,291438,2861956.5300000003,3665609.13
2017-03,236,564415.0,678611.05,31,3517542.89,4432131.7,586132.0,684398.47,364979,3423105.39,4370115.17
2017-03,237,607769.0,680303.35,31,3624966.81,4578848.0200000005,536711.0,562393.52,336554,3147441.12,3983343.25
2017-03,238,303760.0,414177.43,31,1968638.59,2478136.8000000003,328009.0,469631.58,202995,2131092.9,2726170.13
2017-03,239,427722.0,554940.2,31,2679410.59,3389781.54,408004.0,545922.15,251091,2561445.46,3286879.09
2017-03,243,3800.0,8690.57,31,36172.67,43509.08,32959.0,164030.51,20191,523676.01,627647.51
2017-03,244,19193.0,47277.81,31,184758.07,221565.11000000002,62890.0,255847.95,39211,856910.14,1024080.74
2017-03,246,231168.0,339102.35,31,1703756.53,2147758.6,296279.0,361160.79,183752,1924061.09,2431212.2800000003
2017-03,249,354563.0,494299.52,31,2424560.83,3068863.59,283390.0,333528.41,174962,1697889.17,2195542.77
2017-03,261,92978.0,223831.79,31,924980.45,1129083.21,81398.0,208022.75,48829,802919.12,983277.73
2017-03,262,191138.0,281199.36,31,1284401.04,1612238.56,204186.0,308126.05,125628,1372230.25,1761232.21
2017-03,263,291920.0,400602.16,31,1840833.17,2330298.94,293320.0,425114.25,181103,1879306.7,2423710.69
2017-04,4,44508.0,72391.45999999999,30,327523.17,403786.35,83778.0,121305.14,51445,570174.45,712828.79
2017-04,12,7983.0,18951.69,30,77400.11,89811.06,13297.0,28289.78,7553,116729.1,134206.14
2017-04,13,162260.0,394417.74,30,1767702.78,2138002.8,171724.0,428369.58,103290,1665220.29,2034360.52
2017-04,24,49709.0,76389.1,30,340261.97,422530.28,52527.0,91193.39,32357,378329.36,477135.85000000003
2017-04,41,59835.0,88085.07,30,393570.87,483487.66,104284.0,210070.77,64215,846609.09,1046381.21
2017-04,42,26246.0,40251.76,30,179220.25,215360.3,72082.0,194714.82,44494,723785.79,871550.59
2017-04,43,248139.0,311521.97,30,1583707.88,1953174.49,211039.0,258631.18,123424,1308196.45,1611710.2
