,Unnamed: 0,Date,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,PUT_fare,LocationID,DO_passenger,DOTripDistance_count,DropOff_count,DO_fare,DOT_fare,Year
130,310,2021-01-02,39.0,108.21,36,515.91,707.51,4,261.0,623.24,190,2518.62,3514.58,2021
131,315,2021-01-02,22.0,74.87,16,260.5,343.96,12,30.0,72.16,16,268.5,346.31,2021
132,316,2021-01-02,175.0,505.55,131,1918.88,2687.01,13,322.0,1035.68,200,3572.13,4847.33,2021
133,326,2021-01-02,227.0,401.73,162,1816.58,2452.3,24,289.0,588.11,203,2348.21,3344.77,2021
134,340,2021-01-02,432.0,750.68,309,3499.96,4415.66,41,711.0,1520.71,507,6327.82,8356.78,2021
135,341,2021-01-02,171.0,354.28000000000003,126,1800.49,2169.35,42,451.0,1391.79,339,5558.36,7069.62,2021
136,342,2021-01-02,1213.0,1660.39,745,7719.34,11565.46,43,893.0,1171.04,556,5340.77,8166.92,2021
137,344,2021-01-02,57.0,133.88,38,655.48,846.57,45,136.0,203.22,76,901.22,1228.16,2021
138,346,2021-01-02,1377.0,2251.7,948,10011.4,15008.85,48,1280.0,1992.8,922,9177.87,14090.38,2021
139,348,2021-01-02,363.0,726.27,275,2999.53,4400.33,50,557.0,915.84,385,4049.95,6144.95,2021
140,364,2021-01-02,1305.0,2180.59,895,9670.49,14381.41,68,1237.0,2139.82,831,8985.74,13662.04,2021
141,369,2021-01-02,538.0,1059.9,382,4454.12,5591.3,74,794.0,1779.78,598,7093.48,9295.7,2021
142,370,2021-01-02,794.0,1417.36,579,6111.98,7958.62,75,1090.0,1922.08,768,7908.73,11103.58,2021
143,374,2021-01-02,1010.0,1683.64,695,7224.02,11010.84,79,969.0,2219.94,714,8857.56,13188.57,2021
144,381,2021-01-02,169.0,464.07,115,1725.83,2450.36,87,260.0,1102.62,185,3659.02,4961.04,2021
145,382,2021-01-02,79.0,243.41,60,831.16,1122.37,88,151.0,517.57,93,1657.56,2189.07,2021
146,384,2021-01-02,945.0,1533.65,685,6840.27,10348.49,90,726.0,1310.23,517,5485.3,8480.75,2021
147,393,2021-01-02,696.0,1276.63,486,5508.45,8004.66,100,584.0,878.71,401,4223.7,6156.6,2021
148,397,2021-01-02,1075.0,1639.44,759,7283.11,11312.23,107,924.0,1614.35,641,6828.5,10762.81,2021
149,400,2021-01-02,683.0,1038.29,468,4817.79,7349.36,113,566.0,1045.45,402,4343.14,6686.38,2021
